"lokasi.formasi","formasi.d3st","pendaftar.d3st","formasi.d4st","pendaftar.d4st","formasi.d4ks","pendaftar.d4ks"
"BPS Pusat","0","0","10","544","10","477"
"Provinsi Aceh","4","121","9","366","13","392"
"Provinsi Sumatera Utara","6","357","21","1569","7","360"
"Provinsi Sumatera Barat","2","103","14","943","7","319"
"Provinsi Riau","8","277","7","401","0","0"
"Provinsi Jambi","2","77","9","447","2","78"
"Provinsi Sumatera Selatan","7","315","8","562","3","141"
"Provinsi Bengkulu","3","105","9","378","3","94"
"Provinsi Lampung","3","133","6","381","1","49"
"Provinsi Kepulauan Bangka Belitung","1","22","1","40","3","84"
"Provinsi Kepualauan Riau","1","28","7","278","2","58"
"Provinsi DKI Jakarta","0","0","7","1088","2","375"
"Provinsi Jawa Barat","0","0","5","760","3","304"
"Provinsi Jawa Tengah","0","0","3","751","5","564"
"Provinsi D I Yogyakarta","3","394","0","0","2","219"
"Provinsi Jawa Timur","0","0","5","1056","7","677"
"Provinsi Banten","3","181","3","234","2","124"
"Provinsi Bali","6","279","0","0","0","0"
"Provinsi Nusa Tenggara Barat","1","49","4","236","1","48"
"Provinsi Nusa Tenggara Timur","3","86","16","575","9","212"
"Provinsi Kalimantan Barat","8","200","4","135","1","33"
"Provinsi Kalimantan Tengah","5","113","6","174","7","165"
"Provinsi Kalimantan Selatan","2","46","10","343","6","157"
"Provinsi Kalimantan Timur","3","83","12","447","5","151"
"Provinsi Kalimantan Utara","1","24","8","189","0","0"
"Provinsi Sulawesi Utara","7","147","8","202","5","99"
"Provinsi Sulawesi Tengah","2","43","2","66","3","61"
"Provinsi Sulawesi Selatan","2","92","10","492","8","261"
"Provinsi Sulawesi Tenggara","1","28","7","195","5","106"
"Provinsi Gorontalo","1","22","2","49","6","116"
"Provinsi Sulawesi Barat","4","85","2","53","3","62"
"Provinsi Maluku","2","38","7","154","6","109"
"Provinsi Maluku Utara","2","39","6","128","2","36"
"Provinsi Papua Barat","0","0","0","0","3","55"
"Provinsi Papua Barat (Afirmasi)","2","12","1","11","0","0"
"Provinsi Papua","0","0","17","246","8","108"
"Provinsi Papua (Afirmasi)","5","17","4","22","0","0"
